Time (min),Hot Water Draw Volume (gal),Ambient Temperature (deg F),Inlet Water Temperature (deg F),Tank Temperature (deg F),Jacket Losses (Btu),Energy Withdrawn (Btu),Energy Added Backup (Btu),Energy Added Heat Pump (Btu),Energy Added Total (Btu),COP Gas,Total Energy Change (Btu),Timestep (min),Elec Energy Demand (Watts),Electric Usage (W-hrs),Gas Usage (Btu),NOx Production (ng),Energy Added Heat Pump (Btu/min)
8660.0,0.0,68.0,40.0,103.95990535762266,-48.552510050144605,-0.0,0.0,0.0,0.0,1.7742002366059433,-48.552510050144605,5.0,5,0.4166666666666667,0.0,0.0,0.0
8665.0,0.0,68.0,40.0,103.86992043284872,-48.431013791436506,-0.0,0.0,0.0,0.0,1.774425198917878,-48.431013791436506,5.0,5,0.4166666666666667,0.0,0.0,0.0
8670.0,0.0,68.0,40.0,103.78016068349184,-48.30982156110645,-0.0,0.0,0.0,0.0,1.7746495982912704,-48.30982156110645,5.0,5,0.4166666666666667,0.0,0.0,0.0
8675.0,0.0,68.0,40.0,103.69062554608023,-48.18893259836348,-0.0,0.0,0.0,0.0,1.7748734361347993,-48.18893259836348,5.0,5,0.4166666666666667,0.0,0.0,0.0
8680.0,0.0,68.0,40.0,103.60131445855207,-48.068346144320394,-0.0,0.0,0.0,0.0,1.7750967138536198,-48.068346144320394,5.0,5,0.4166666666666667,0.0,0.0,0.0
8685.0,0.0,68.0,40.0,103.51222686025206,-47.948061441989076,-0.0,0.0,0.0,0.0,1.7753194328493698,-47.948061441989076,5.0,5,0.4166666666666667,0.0,0.0,0.0
8690.0,0.0,68.0,40.0,103.42336219192785,-47.828077736275574,-0.0,0.0,0.0,0.0,1.7755415945201805,-47.828077736275574,5.0,5,0.4166666666666667,0.0,0.0,0.0
8695.0,0.0,68.0,40.0,103.33471989572656,-47.70839427397558,-0.0,0.0,0.0,0.0,1.7757632002606836,-47.70839427397558,5.0,5,0.4166666666666667,0.0,0.0,0.0
8700.0,0.0,68.0,40.0,103.24629941519126,-47.58901030376946,-0.0,0.0,0.0,0.0,1.7759842514620219,-47.58901030376946,5.0,5,0.4166666666666667,0.0,0.0,0.0
8705.0,0.0,68.0,40.0,103.15810019525745,-47.46992507621773,-0.0,0.0,0.0,0.0,1.7762047495118565,-47.46992507621773,5.0,5,0.4166666666666667,0.0,0.0,0.0
8710.0,0.0,68.0,40.0,103.07012168224965,-47.35113784375628,-0.0,0.0,0.0,0.0,1.776424695794376,-47.35113784375628,5.0,5,0.4166666666666667,0.0,0.0,0.0
8715.0,0.0,68.0,40.0,102.98236332387785,-47.23264786069163,-0.0,0.0,0.0,0.0,1.7766440916903055,-47.23264786069163,5.0,5,0.4166666666666667,0.0,0.0,0.0
8720.0,0.0,68.0,40.0,102.89482456923409,-47.11445438319636,-0.0,0.0,0.0,0.0,1.7768629385769148,-47.11445438319636,5.0,5,0.4166666666666667,0.0,0.0,0.0
8725.0,0.0,68.0,40.0,102.80750486878897,-46.99655666930433,-0.0,0.0,0.0,0.0,1.7770812378280276,-46.99655666930433,5.0,5,0.4166666666666667,0.0,0.0,0.0
8730.0,0.0,68.0,40.0,102.72040367438822,-46.87895397890611,-0.0,0.0,0.0,0.0,1.7772989908140295,-46.87895397890611,5.0,5,0.4166666666666667,0.0,0.0,0.0
8735.0,0.0,68.0,40.0,102.63352043924927,-46.761645573744275,-0.0,0.0,0.0,0.0,1.7775161989018768,-46.761645573744275,5.0,5,0.4166666666666667,0.0,0.0,0.0
8740.0,0.0,68.0,40.0,102.54685461795778,-46.644630717408816,-0.0,0.0,0.0,0.0,1.7777328634551055,-46.644630717408816,5.0,5,0.4166666666666667,0.0,0.0,0.0
8745.0,0.0,68.0,40.0,102.46040566646424,-46.52790867533245,-0.0,0.0,0.0,0.0,1.7779489858338393,-46.52790867533245,5.0,5,0.4166666666666667,0.0,0.0,0.0
8750.0,0.0,68.0,40.0,102.37417304208057,-46.41147871478609,-0.0,0.0,0.0,0.0,1.7781645673947986,-46.41147871478609,5.0,5,0.4166666666666667,0.0,0.0,0.0
8755.0,0.0,68.0,40.0,102.28815620347667,-46.295340104874214,-0.0,0.0,0.0,0.0,1.7783796094913082,-46.295340104874214,5.0,5,0.4166666666666667,0.0,0.0,0.0
8760.0,0.0,68.0,40.0,102.20235461067708,-46.17949211653022,-0.0,0.0,0.0,0.0,1.7785941134733072,-46.17949211653022,5.0,5,0.4166666666666667,0.0,0.0,0.0
8765.0,0.0,68.0,40.0,102.1167677250575,-46.06393402251192,-0.0,0.0,0.0,0.0,1.7788080806873563,-46.06393402251192,5.0,5,0.4166666666666667,0.0,0.0,0.0
8770.0,0.0,68.0,40.0,102.03139500934154,-45.948665097397004,-0.0,0.0,0.0,0.0,1.7790215124766462,-45.948665097397004,5.0,5,0.4166666666666667,0.0,0.0,0.0
8775.0,0.0,68.0,40.0,101.94623592759721,-45.83368461757837,-0.0,0.0,0.0,0.0,1.779234410181007,-45.83368461757837,5.0,5,0.4166666666666667,0.0,0.0,0.0
8780.0,0.0,68.0,40.0,101.86128994523366,-45.71899186125965,-0.0,0.0,0.0,0.0,1.7794467751369158,-45.71899186125965,5.0,5,0.4166666666666667,0.0,0.0,0.0
8785.0,0.0,68.0,40.0,101.77655652899777,-45.60458610845073,-0.0,0.0,0.0,0.0,1.7796586086775057,-45.60458610845073,5.0,5,0.4166666666666667,0.0,0.0,0.0
8790.0,0.0,68.0,40.0,101.69203514697082,-45.49046664096317,-0.0,0.0,0.0,0.0,1.779869912132573,-45.49046664096317,5.0,5,0.4166666666666667,0.0,0.0,0.0
8795.0,0.0,68.0,40.0,101.60772526856513,-45.37663274240561,-0.0,0.0,0.0,0.0,1.7800806868285872,-45.37663274240561,5.0,5,0.4166666666666667,0.0,0.0,0.0
8800.0,0.0,68.0,40.0,101.52362636452077,-45.26308369817948,-0.0,0.0,0.0,0.0,1.780290934088698,-45.26308369817948,5.0,5,0.4166666666666667,0.0,0.0,0.0
8805.0,0.0,68.0,40.0,101.43973790690218,-45.149818795474324,-0.0,0.0,0.0,0.0,1.7805006552327445,-45.149818795474324,5.0,5,0.4166666666666667,0.0,0.0,0.0
8810.0,0.0,68.0,40.0,101.35605936909494,-45.03683732326347,-0.0,0.0,0.0,0.0,1.7807098515772628,-45.03683732326347,5.0,5,0.4166666666666667,0.0,0.0,0.0
8815.0,0.0,68.0,40.0,101.27259022580235,-44.92413857229939,-0.0,0.0,0.0,0.0,1.7809185244354941,-44.92413857229939,5.0,5,0.4166666666666667,0.0,0.0,0.0
8820.0,0.0,68.0,40.0,101.18932995304225,-44.81172183510945,-0.0,0.0,0.0,0.0,1.7811266751173944,-44.81172183510945,5.0,5,0.4166666666666667,0.0,0.0,0.0
8825.0,0.0,68.0,40.0,101.10627802814365,-44.69958640599137,-0.0,0.0,0.0,0.0,1.7813343049296408,-44.69958640599137,5.0,5,0.4166666666666667,0.0,0.0,0.0
8830.0,0.0,68.0,40.0,101.02343392974348,-44.58773158100872,-0.0,0.0,0.0,0.0,1.7815414151756412,-44.58773158100872,5.0,5,0.4166666666666667,0.0,0.0,0.0
8835.0,0.0,68.0,40.0,100.9407971377833,-44.476156657986635,-0.0,0.0,0.0,0.0,1.7817480071555418,-44.476156657986635,5.0,5,0.4166666666666667,0.0,0.0,0.0
