Time (min),Hot Water Draw Volume (gal),Inlet Water Temperature (deg F),Ambient Temperature (deg F),Tank Temperature (deg F),Jacket Losses (Btu),Energy Withdrawn (Btu),Energy Added Backup (Btu),Energy Added Heat Pump (Btu),Energy Added Total (Btu),COP Gas,Total Energy Change (Btu),Timestep (min)
1785,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1790,1.01560096512,48.9325,68,0,0,0,0,0,0,0,0,5
1795,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1800,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1805,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1810,0.06105582432,48.9325,68,0,0,0,0,0,0,0,0,5
1815,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1820,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1825,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1830,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1835,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1840,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1845,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1850,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1855,4.920688203318666,48.9325,68,0,0,0,0,0,0,0,0,5
1860,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1865,0.20840152752000002,48.9325,68,0,0,0,0,0,0,0,0,5
1870,0.4827998131199999,48.9325,68,0,0,0,0,0,0,0,0,5
1875,0.03555707687999999,48.9325,68,0,0,0,0,0,0,0,0,5
1880,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1885,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1890,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1895,2.335882219776,48.9325,68,0,0,0,0,0,0,0,0,5
1900,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1905,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1910,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1915,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1920,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1925,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1930,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1935,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1940,1.16792744832,48.9325,68,0,0,0,0,0,0,0,0,5
1945,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1950,0.03052791216,48.9325,68,0,0,0,0,0,0,0,0,5
1955,0.10164206592,48.9325,68,0,0,0,0,0,0,0,0,5
1960,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1965,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1970,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1975,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1980,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1985,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1990,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1995,0.0,0.0,68,0,0,0,0,0,0,0,0,5
2000,0.0,0.0,68,0,0,0,0,0,0,0,0,5
2005,0.0,0.0,68,0,0,0,0,0,0,0,0,5
2010,0.0,0.0,68,0,0,0,0,0,0,0,0,5
2015,0.0,0.0,68,0,0,0,0,0,0,0,0,5
2020,0.0,0.0,68,0,0,0,0,0,0,0,0,5
2025,0.0,0.0,68,0,0,0,0,0,0,0,0,5
2030,0.0,0.0,68,0,0,0,0,0,0,0,0,5
2035,0.0,0.0,68,0,0,0,0,0,0,0,0,5
2040,0.0,0.0,68,0,0,0,0,0,0,0,0,5
2045,0.0,0.0,68,0,0,0,0,0,0,0,0,5
2050,0.0,0.0,68,0,0,0,0,0,0,0,0,5
2055,0.0,0.0,68,0,0,0,0,0,0,0,0,5
2060,0.0,0.0,68,0,0,0,0,0,0,0,0,5
2065,0.0,0.0,68,0,0,0,0,0,0,0,0,5
2070,0.0,0.0,68,0,0,0,0,0,0,0,0,5
2075,0.0,0.0,68,0,0,0,0,0,0,0,0,5
2080,0.0,0.0,68,0,0,0,0,0,0,0,0,5
2085,0.0,0.0,68,0,0,0,0,0,0,0,0,5
2090,0.0,0.0,68,0,0,0,0,0,0,0,0,5
2095,0.0,0.0,68,0,0,0,0,0,0,0,0,5
2100,0.0,0.0,68,0,0,0,0,0,0,0,0,5
2105,0.0,0.0,68,0,0,0,0,0,0,0,0,5
2110,0.0,0.0,68,0,0,0,0,0,0,0,0,5
2115,0.0,0.0,68,0,0,0,0,0,0,0,0,5
2120,0.0,0.0,68,0,0,0,0,0,0,0,0,5
2125,0.0,0.0,68,0,0,0,0,0,0,0,0,5
2130,0.0,0.0,68,0,0,0,0,0,0,0,0,5
2135,0.0,0.0,68,0,0,0,0,0,0,0,0,5
