Time (min),Hot Water Draw Volume (gal),Ambient Temperature (deg F),Inlet Water Temperature (deg F),Tank Temperature (deg F),Jacket Losses (Btu),Energy Withdrawn (Btu),Energy Added Backup (Btu),Energy Added Heat Pump (Btu),Energy Added Total (Btu),COP Gas,Tank Temperature (deg C),Time Step (min),Total Energy Change (Btu),Elec Energy Demand (Watts),Electric Usage (W-hrs),Gas Usage (Btu)
5990,0.0,68,40,127.34567049942544,-115.42263725267277,-0.0,0.0,0.0,0.0,0.0,52.96981694412524,5.0,-115.42263725267277,5.0,0.41666666666666663,0.0
5995,0.0,68,40,127.15519480711075,-115.05217709012892,-0.0,0.0,0.0,0.0,0.0,52.86399711506152,5.0,-115.05217709012892,5.0,0.41666666666666663,0.0
6000,0.0,68,40,126.96533046502695,-114.68290595545083,-0.0,0.0,0.0,0.0,0.0,52.75851692501497,5.0,-114.68290595545083,5.0,0.41666666666666663,0.0
6005,0.0,68,40,126.77607551098613,-114.3148200323381,-0.0,0.0,0.0,0.0,0.0,52.65337528388118,5.0,-114.3148200323381,5.0,0.41666666666666663,0.0
6010,0.0,68,40,126.58742798909817,-113.94791551673913,-0.0,0.0,0.0,0.0,0.0,52.54857110505454,5.0,-113.94791551673913,5.0,0.41666666666666663,0.0
6015,0.0,68,40,126.39938594975061,-113.58218861681172,-0.0,0.0,0.0,0.0,0.0,52.444103305417,5.0,-113.58218861681172,5.0,0.41666666666666663,0.0
6020,0.0,68,40,126.21194744958842,-113.21763555288409,-0.0,0.0,0.0,0.0,0.0,52.3399708053269,5.0,-113.21763555288409,5.0,0.41666666666666663,0.0
6025,0.0,68,40,126.025110551494,-112.85425255741559,-0.0,0.0,0.0,0.0,0.0,52.236172528607774,5.0,-112.85425255741559,5.0,0.41666666666666663,0.0
6030,0.0,68,40,125.83887332456706,-112.49203587495789,-0.0,0.0,0.0,0.0,0.0,52.13270740253726,5.0,-112.49203587495789,5.0,0.41666666666666663,0.0
6035,0.0,68,40,125.65323384410479,-112.1309817621161,-0.0,0.0,0.0,0.0,0.0,52.02957435783599,5.0,-112.1309817621161,5.0,0.41666666666666663,0.0
