Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Mains Water Temperature [C](Hourly),LIVING_1:Zone Mean Air Temperature [C](Hourly),LIVING_1:Zone Mean Air Dewpoint Temperature [C](Hourly),FINISHEDBASEMENT_1:Zone Mean Air Temperature [C](Hourly),FINISHEDBASEMENT_1:Zone Mean Air Dewpoint Temperature [C](Hourly),GARAGE:Zone Mean Air Temperature [C](Hourly),GARAGE:Zone Mean Air Dewpoint Temperature [C](Hourly),WATER HEATER_1:Water Heater Use Side Mass Flow Rate [kg/s](Hourly),WATER HEATER_1:Water Heater Use Side Inlet Temperature [C](Hourly),WATER HEATER_1:Water Heater Heating Energy [J](Hourly)
 05/30  18:00:00,24.35833333,17.45937083,12.6286503,23.05576331,15.79177978,17.21221416,6.738762938,26.46365659,11.19320353,0.005699391,12.6286503,3589059.72
 05/30  19:00:00,23.25833333,16.95053433,12.6286503,23.01764125,15.79753919,17.23484801,6.74869384,25.37231768,11.21043239,0.00241662,12.6286503,1697025.861
 05/30  20:00:00,21.80833333,16.42389806,12.6286503,22.88346603,15.80056479,17.25867198,6.764886694,23.55636334,11.2345039,0,12.6286503,0
 05/30  21:00:00,19.81666667,15.58838933,12.6286503,22.74305396,15.80106182,17.2792188,6.780993034,21.52529769,11.2569759,0.000177178,12.6286503,0
 05/30  22:00:00,17.90833333,14.75142351,12.6286503,22.53940715,15.78833259,17.27268758,6.788372443,19.88906693,11.26868756,0,12.6286503,0
 05/30  23:00:00,16.90833333,14.38074666,12.6286503,22.27171036,15.77539067,17.23934724,6.798080522,18.65839107,11.28221391,0,12.6286503,0
 05/30  24:00:00,17.34166667,14.58962123,12.6286503,22.0236371,15.76915441,17.20909219,6.813855906,17.88048246,11.30225383,0,12.6286503,1496113.599
 05/31  01:00:00,17.15833333,14.51700371,12.73347146,21.79284352,15.75429532,17.18720914,6.820977498,17.56830917,11.31296642,0,12.6286503,0
 05/31  02:00:00,16.05833333,13.92351144,12.73347146,21.6666452,15.72337792,17.20197402,6.821975081,17.24246389,11.31669881,0,12.6286503,0
 05/31  03:00:00,14.60833333,13.0545799,12.73347146,21.66655832,15.66646286,17.30134719,6.831774678,16.71669237,11.32808916,0,12.6286503,0
 05/31  04:00:00,13.55,12.46792954,12.73347146,21.66653572,15.57106415,17.39676229,6.839332396,16.06358286,11.33582329,0.000532256,12.63625713,0
 05/31  05:00:00,13.65,12.68799679,12.73347146,21.66655261,15.46104637,17.45026507,6.849467549,15.55679298,11.34606282,1.33003E-05,12.70448552,1496041.198
 05/31  06:00:00,15.53333333,13.5799169,12.73347146,21.66661065,15.32133102,17.52468951,6.857633844,15.65415221,11.3542036,0.000712416,12.71936334,0
 05/31  07:00:00,17.34166667,14.44885442,12.73347146,21.66664415,15.21641698,17.40844641,6.869616318,16.67740438,11.36559331,0.004887543,12.73152795,3863705.092
 05/31  08:00:00,19.08333333,15.80140127,12.73347146,21.66666272,15.2013146,17.19400606,6.886410685,18.55903342,11.38551328,0.001499668,12.73347146,0
 05/31  09:00:00,20.99166667,16.6482458,12.73347146,21.66666893,15.19368261,17.18240471,6.894296746,21.04521832,11.39907694,0.000981447,12.73347146,1644736.642
 05/31  10:00:00,22.98333333,17.38619223,12.73347146,21.7252422,15.17845896,17.1493762,6.895595624,23.69479916,11.40535809,0.000319467,12.73347146,0
 05/31  11:00:00,23.25833333,17.83431234,12.73347146,21.7305928,15.17784713,17.14222037,6.896686184,25.94101857,11.41424435,0.001665224,12.73347146,1789396.916
 05/31  12:00:00,23.73333333,18.2694678,12.73347146,21.77542684,15.18464542,17.14663053,6.889386193,27.17965979,11.42135245,0.000806555,12.73347146,0
 05/31  13:00:00,24.10833333,18.16209099,12.73347146,21.93027854,15.19518552,17.14932258,6.884548938,27.97622981,11.43224655,0.000713027,12.73347146,1609208.933
 05/31  14:00:00,22.90833333,17.52893255,12.73347146,22.01501948,15.19981256,17.15345881,6.885690478,28.02985776,11.44784206,0,12.73347146,0
 05/31  15:00:00,21.90833333,16.77702994,12.73347146,22.11536455,15.19692044,17.16164657,6.886952047,27.38744362,11.46409018,0,12.73347146,0
 05/31  16:00:00,20.35833333,15.57625512,12.73347146,22.21476657,15.17113459,17.17390523,6.87955206,26.6792084,11.46406093,6.68749E-05,12.73347146,0
 05/31  17:00:00,18.75833333,14.76721966,12.73347146,22.13873882,15.11659921,17.19097353,6.874853028,25.3815063,11.4627631,0,12.73347146,0
 05/31  18:00:00,18.00833333,14.14443713,12.73347146,22.29372439,15.07666903,17.20928864,6.876356897,23.5352049,11.46582049,0.00412773,12.73347146,3941763.992
 05/31  19:00:00,16.51666667,13.34065979,12.73347146,22.7715043,15.13458308,17.22548611,6.877642319,21.84801435,11.46539363,0.027904851,12.73347146,15888252.87
 05/31  20:00:00,14.9,12.70560454,12.73347146,22.26884498,15.15096356,17.23696916,6.887614638,19.86461121,11.47314069,0.004300484,12.73347146,3118950.213
 05/31  21:00:00,13.11666667,11.57679929,12.73347146,21.94901859,15.12089569,17.2512079,6.895060278,18.1110609,11.47713285,0.000515221,12.73347146,0
 05/31  22:00:00,12.08333333,10.79364285,12.73347146,22.03643903,15.10822307,17.24003452,6.89608886,16.83439477,11.4732754,0.020900136,12.73347146,12808090.82
 05/31  23:00:00,11.94166667,10.21613466,12.73347146,21.7012195,15.07077656,17.24427472,6.888603265,15.91789442,11.45956367,0,12.73347146,0
 05/31  24:00:00,11.78333333,10.41016242,12.73347146,21.666441,14.96685213,17.3784123,6.893491508,15.41791798,11.45508848,0,12.73347146,0
 06/01  01:00:00,11.64166667,10.89887568,12.83790595,21.66648308,14.84725924,17.46051126,6.894136526,15.10191836,11.44865662,0,12.73347146,0
 06/01  02:00:00,11.48333333,10.69904739,12.83790595,21.66648084,14.71075811,17.49782409,6.891423542,14.95000889,11.43943347,0,12.73347146,0
 06/01  03:00:00,11.34166667,10.4474953,12.83790595,21.66647479,14.56065093,17.5119032,6.888127124,14.85169252,11.42671345,0,12.73347146,0
 06/01  04:00:00,11.18333333,10.4510528,12.83790595,21.66648376,14.42925672,17.53670681,6.89195112,14.59092183,11.41642706,0.001194284,12.76041776,1495774.105
 06/01  05:00:00,11.74166667,10.73320691,12.83790595,21.66650304,14.33146948,17.56829128,6.906614789,14.38774361,11.41312677,0,12.83196431,0
